x y
784.648374239206 807.1443873281287
1196.0443026267383 1083.665468297529
203.4691231426756 603.4017774570817
795.0946970002319 789.616429785212
1222.646983866048 1101.9853450184564
194.84833070405375 620.4726613032689
905.6639824039328 414.4932759793903
1496.0527651032737 290.18623559352005
198.72940590259142 603.1232936428763
1495.546071873508 312.77838584501876
1089.7688092049914 893.180824447815
799.3580419563389 802.9748243556703
1096.9604930141766 890.576904566822
887.1120976564595 389.0119683366085
195.11733745273077 591.9926604030184
797.6874931181903 801.735061479689
1010.5073350461562 1202.805359195499
1000.9452434587286 1191.1261532748556
1491.0532450823866 300.97124983039004
1103.6021517105578 898.6556594379808
893.9206823810266 415.0685221634863
911.1507695682433 392.2291830970345
903.6740549894134 403.4244601455182
996.6181871484445 1193.433999735611
808.9060852360967 804.2571385101708
192.30538510360128 600.071195549267
890.849966956848 401.2773488619336
798.2766890204249 798.9194045740543
1097.8695070979745 917.9707382131398
198.95117781535774 597.7576320711919
1007.1775449224052 1202.1564865427833
1004.1410601165409 1189.090167873438
199.7463239430154 599.725043228776
1198.7071464772582 1099.225106013791
1213.3259303654636 1084.740801217447
1522.3840095446346 301.37395265346714
1205.6580192166914 1103.4891994261282
1203.599057523129 1087.8618159265734
1088.5044928034163 895.8910501177317
1007.1468805114828 1204.697510120701
1095.5763200864856 897.5190528176807
1505.7431865628214 298.7440575514444
1092.882561528988 915.540966574934
1192.558367023167 1089.407968195374
811.7184373101913 799.1524437729903
1190.8214717937615 1101.8576970657778
879.2847088713096 405.9277114374041
200.14767204934265 601.1858995177897
1196.007866383679 1108.055309773193
801.6717935224085 801.8458312713077
1114.4442509857006 905.2121623215487
1086.1928268796007 908.5522871469711
1103.1326412469643 906.9161607938797
1006.9272052420539 1217.5633697317837
1511.3996026219938 302.76169175320223
975.5727666953903 1222.2160049984586
883.4295529565015 406.2892900064641
1491.49949515216 288.85259703273744
814.511314313535 796.8359326724196
898.5320460032885 418.9184005812351
1205.8287728657453 1090.7163364901396
1513.6376938658593 293.7536766453726
202.54239209984965 589.7171439273333
1505.3675508425254 291.82912068553696
209.73726404120032 584.4779522288894
1499.8885042381503 291.9243352088009
977.5822716087646 1210.0973038300706
1007.6240111898709 1184.5472381800384
793.8430217748706 806.5540814135551
897.8508294263335 404.6840217623157
